name;bios;description;is_parent;manufacturer;sample;year
slspirit;-;Solite Spirits;NO;Promat;-;1999;
smgp;-;Super Monaco GP (World, Rev B, FD1094 317-0126a);NO;Sega;-;1989;
sokoban;-;Sokoban LE;NO;cmonkey;-;2015;
soldam;-;Soldam;NO;Jaleco;-;1992;
soniccar;-;Waku Waku Sonic Patrol Car;NO;Sega;-;1991;
sonicfgt;-;SegaSonic Cosmo Fighter;NO;Sega;-;1993;
spacewin;-;Scacco Matto / Space Win;NO;Playmark;-;1996;
speccies;-;Speccies 2;NO;Sokurah;-;2015;
spidman;-;Spider-Man: The Videogame (World);NO;Sega;-;1991;
spotty;-;Spotty (Ver. 2.0.2);NO;Prince Co.;-;2001;
sqij;-;SQIJ!;NO;Sokurah;-;2018;
squaitsa;-;Squash (Itisa);NO;Itisa;-;1984;
stadhr96;-;Stadium Hero '96 (World, EAJ);NO;Data East Corporation;-;1996;
stealsee;-;Steal See;NO;Moov Generation / Eolith;-;2000;
strkfgtr;-;Strike Fighter (World);NO;Sega;-;1991;
stuntair;-;Stunt Air;NO;Nuova Videotron;-;1983;
sub;-;Submarine (Sigma);NO;Sigma Enterprises Inc.;-;1985;
suchie2;-;Idol Janshi Suchie-Pai II (ver 1.1);NO;Jaleco;-;1994;
sunaq;-;SunA Quiz 6000 Academy (940620-6);NO;SunA;-;1994;
supduck;-;Super Duck;NO;Comad;-;1992;
superten;-;Super Ten V8.3;NO;U.S. Games;-;1988;
suplup;-;Super Lup Lup Puzzle / Zhuan Zhuan Puzzle (version 4.0 / 990518);NO;Omega System;-;1999;
supmodel;-;Super Model;NO;Comad / New Japan System;-;1994;
suratk;-;Surprise Attack (World ver. K);NO;Konami;-;1990;
svg;pgm;S.V.G. - Spectral vs Generation (V200, China);NO;IGS;-;2005;
sws;-;Super World Stadium (Japan);NO;Namco;-;1992;
sxyreac2;-;Pachinko Sexy Reaction 2 (Japan);NO;Sammy;-;1999;
taxidriv;-;Taxi Driver;NO;Graphic Techno;-;1984;
tcobra2;-;Twin Cobra II (Ver 2.1O 1995/11/30);NO;Taito Corporation Japan;-;1995;
